Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,,Judged Score,
Mouettes d'Arvor Sardines in Olive Oil with Sun-Dried Tomatoes,11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Sun-Dried Tomatoes,No,No,Unstated,115,4,No,No,No,No,No,Yes,No,No,No,None,2,316,14,,,
Mouettes d'Arvor Sardines in Organic Extra Virgin Olive Oil with Brittany Seaweed,10,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Seaweed,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,Yes,None,2,240,10,,,
Mouettes d'Arvor Sardines in Organic Extra Virgin Olive Oil with Piment d'Espelette,10,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Piment d'Espelette,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,Yes,None,2,280,10,,,
"Mouettes d'Arvor Sardines in Organic Extra Virgin Olive Oil with Yuzu, Orange and Grapefruit",10,"Extra Virgin Olive Oil, Organic; Sunflower Oil, Organic",Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,"Yuzu, Grapefruit, Orange",No,No,Unstated,115,4,No,No,Yes,No,No,No,No,No,Yes,None,2,280,10,,,
Mouettes d'Arvor Sardines in Peanut Oil,11,Peanut Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,12,,,
Mouettes d'Arvor Sardines with Butter & Sea Salt from Guérande,11.5,Butter,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,Yes,No,No,None,2,440,20,,,
"Mouettes d'Arvor Sardines with Persillade (butter, garlic, parsley)",11.5,Butter,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,"Garlic, Parsley",No,No,Unstated,115,4,No,No,No,Yes,No,No,Yes,No,No,None,2,530,24,,,
Mouettes d'Arvor Sardinettes in Olive Oil 8/10,11.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,8/10,100,3.5,No,No,No,No,No,No,No,No,No,None,2,120,5,,,
Mouettes d'Arvor Sardinettes in Olive Oil with Lemon 8/10,11.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Lemon,No,No,8/10,100,3.5,No,No,Yes,No,No,No,No,No,No,None,2,296,13,,,
Mouettes d'Arvor Sardinettes in Olive Oil with Piment d'Espelette 8/10,11.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Piment d'Espelette,No,No,8/10,100,3.5,No,No,No,No,No,No,No,No,No,None,2,120,5,,,
Mouettes d'Arvor Thon Blanc Germon (Albacore) Steak in Organic Extra Virgin Olive Oil,16,"Extra Virgin Olive Oil, Organic","Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,France,Mouettes d'Arvor,Yes,No,None,NA,NA,NA,160,5.3,No,No,No,No,No,No,No,No,Yes,None,3,130,6,,,
Mouettes d'Arvor Tuna Rillettes with Green Peppercorn (Rillettes de Thon au poivre vert),9,Sunflower Oil,"Tuna, Skipjack",Katsuwonus pelamis,France,Mouettes d'Arvor,Yes,No,Green Peppercorn,NA,NA,NA,125,4.4,No,No,No,No,No,No,No,No,No,None,2,128,6,,,
Mouettes d'Arvor Whole Anchovy in Extra Virgin Olive Oil,10.5,Extra Virgin Olive Oil,Anchovy,?,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,100,3.53,No,No,No,No,No,No,No,No,No,None,2,240,11,,,
Mouettes d’Arvor Cod Liver,7,Cod Liver Oil,Cod Liver,?,France,Mouettes d'Arvor,Yes,No,None,NA,NA,NA,120,4.2,No,No,No,No,No,No,No,No,No,None,2,1980,90,,,
Mouettes d’Arvor Thon à la Catalane Bio (Skipjack Tuna in Organic Catalan Sauce),10.5,Sunflower Oil,"Tuna, Skipjack",Katsuwonus pelamis,France,Mouettes d'Arvor,Yes,Yes,Catalan Sauce,NA,NA,NA,160,5.3,No,No,No,No,No,Yes,No,No,No,None,3,80,4,,,
Mouettes d’Arvor Thon au Citron Confit au Gingembre Bio (Skipjack Tuna with Organic Lemon and Ginger Confit),10.5,"Extra Virgin Olive Oil, Sunflower Oil","Tuna, Skipjack",Katsuwonus pelamis,France,Mouettes d'Arvor,Yes,No,"confit lemon with ginger* 3% (confit lemon* with salt (44%), sunflower* oil, ginger (2%), alcohol vinegar*, spices*)",NA,NA,NA,160,5.3,No,No,Yes,No,No,No,No,No,No,None,3,57,3,,,
Nissui Mackerel in Miso,4.5,Miso,Mackerel,?,Japan,Nissui,Yes,Yes,Miso,No,No,Unstated,190,6.7,No,No,No,No,No,No,No,No,No,None,2,440,19,,,
Nissui Mackerel in Oil,4.5,Soybean Oil,Mackerel,?,Japan,Nissui,Yes,No,None,No,No,Unstated,185,6.52,No,No,No,No,No,No,No,No,No,None,2,290,13,,,
Nissui Mackerel in Soy Sauce,4.5,Soy Sauce,Mackerel,?,Japan,Nissui,Yes,Yes,Soy Sauce,No,No,Unstated,190,6.7,No,No,No,No,No,No,No,Yes,No,None,2,460,20,,,
Nissui Whole Sardines in Miso (Iwashi Miso Ni),4.5,Miso,Sardines,Sardinops melanostictus,Japan,Nissui,Yes,Yes,Miso,No,No,Unstated,100,3.53,No,No,No,No,No,No,No,No,No,None,1,570,25,,,
Nissui Whole Sardines in Sweet Soy Sauce (Iwashi Ajitsuke),4.5,Soy Sauce,Sardines,Sardinops melanostictus,Japan,Nissui,Yes,Yes,Soy Sauce,No,No,Unstated,100,3.53,No,No,No,No,No,No,No,Yes,No,None,1,670,29,,,
Nuri Mackerel Fillets in Olive Oil,8.5,Olive Oil,Mackerel,?,Portugal,Nuri,Yes,No,None,Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,1,500,22,,,
Nuri Sardines in Extra Spicy Olive Oil 3/5,8.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Nuri,Yes,No,Spiced/Spicy,No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,1000,21,something seems off here,,
Nuri Sardines in Olive Oil 3/5,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Nuri,Yes,No,None,No,No,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,1,500,22,,,
Nuri Sardines in Spiced Tomato Sauce 3/5,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Nuri,Yes,No,"Spiced/Spicy, Tomato, Cucumber, Chili, Carrot",No,No,Unstated,125,4.4,No,No,No,No,Yes,Yes,No,No,No,None,1,500,22,,,
Nuri Sardines in Tomato Sauce 3/5,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Nuri,Yes,No,Tomato,No,No,Unstated,125,4.4,No,No,No,No,No,Yes,No,No,No,None,1,500,22,,,
Nuri Spiced Mackerel Fillets in Olive Oil,8.5,Olive Oil,Mackerel,?,Portugal,Nuri,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,500,22,,,
Nuri Spiced Sardine Pâté,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Nui,Yes,No,"Tomato, Chickpea, Carrot, Bay, Laurel",Yes,NA,Unstated,65,2.29,No,No,No,No,Yes,Yes,No,No,No,None,1,200,8,,,
Nuri Spiced Sardines in Olive Oil 3/5,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Nuri,Yes,No,"Spiced/Spicy, Cucumber, Chili, Carrot",No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,500,22,,74.25,Go to Data
Nuri Spiced Small Whole Mackerel in Olive Oil,7,Olive Oil,Mackerel,?,Portugal,Nuri,Yes,No,"Spiced/Spicy Cucumber, Chili, Carrot",No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,500,22,,,
Ocean’s Brisling Sardines (Sprats) in Olive Oil,5,Olive Oil,Sprats,Sprattus sprattus,Scotland,Ocean's,Yes,No,None,No,No,Unstated,106,3.75,No,No,No,No,No,No,No,No,No,None,1,380,17,,,
Ocean’s Brisling Sardines (Sprats) Mediterranean,5,Olive Oil/Sunflower Oil,Sprats,Sprattus sprattus,Scotland,Ocean's,Yes,No,"Olives, peppers, herbs",No,No,Unstated,106,3.75,No,No,No,Yes,No,No,No,No,No,None,1,210,9,,,
Ocean’s Mackerel Fillets in Korma Curry Sauce,5,Sunflower Oil,Mackerel,Scomber scombrus,Scotland,Ocean's,Yes,Yes,Curry,Yes,Yes,Unstated,125,4.41,No,No,No,Yes,Yes,Yes,No,No,No,None,1,260,11,,,
"Ocean’s Mackerel Fillets with Black Olive, Red Pepper and Herbs",5,Sunflower/Rapeseed Oil,Mackerel,Scomber scombrus,Scotland,Ocean's,Yes,No,Spices,Yes,Yes,Unstated,125,4.41,No,No,No,Yes,Yes,No,No,No,No,None,1,290,13,,,
Ocean’s Mackerel Fillets with Jalapeño,5,Sunflower Oil,Mackerel,Scomber scombrus,Scotland,Ocean's,Yes,No,Jalapeno Peppers,Yes,Yes,Unstated,125,4.41,No,No,No,No,No,No,No,No,No,None,1,210,9,,,
Ocean’s Smoked Mackerel with Juniper and Coriander,6.5,Sunflower Oil,Mackerel,Scomber scombrus,Scotland,Ocean's,Yes,No,Juniper and Coriander Seed Oil,Yes,Yes,Unstated,110,3.88,Yes,No,No,No,No,No,No,No,No,None,1,500,22,,,
Ocean’s Smoked Peppered Mackerel,6.5,Sunflower Oil,Mackerel,Scomber scombrus,Scotland,Ocean's,Yes,No,Black Pepper,Yes,Yes,Unstated,110,3.88,Yes,No,No,No,No,No,No,No,No,None,1,500,22,,,
Ocean’s Sweet Smoked Mackerel,6.5,Sunflower Oil,Mackerel,Scomber scombrus,Scotland,Ocean's,Yes,Yes,Sweet Smoked,Yes,Yes,Unstated,110,3.88,Yes,No,No,No,No,No,No,No,No,None,1,600,26,,,
Officer Smoked Cod Liver,5,None,Cod,Gadus morhua,Denmark,Officer,Yes,No,None,NA,NA,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,?,730,?,Per 100g,,
Ohotomorye Smoked Smelt (Korushka),8.5,Vegetable Oil,Smelt,Usmerus mordax dentex,Russia,Ohotomorye,Yes,No,None,No,No,Unstated,175,6.17,Yes,No,No,No,No,No,No,No,No,None,?,?,?,,,
Olasagasti Anchovies a la Basque (Donostiarra),12,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Olasagasti,Yes,No,"Garlic, Chili",No,No,Unstated,190,6.7,No,No,No,Yes,Yes,No,No,No,No,None,1,980,43,,,
Olasagasti Anchovy Fillets,11,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Olasagasti,Yes,No,None,Yes,Yes,Unstated,48,1.69,No,No,No,No,No,No,No,No,No,None,2,855,37,,,
Olasagasti Atun Claro (Yellowfin Tuna) in Olive Oil,10,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Olasagasti,Yes,No,None,NA,NA,NA,120,4,No,No,No,No,No,No,No,No,No,None,1,470,20,,,
"Olasagasti Atun Rojo (Bluefin) in EVOO, Large Format",36,Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Olasagasti,Yes,No,None,NA,NA,NA,270,9.5,No,No,No,No,No,No,No,No,No,None,3,401,17,,,
"Olasagasti Bonito del Norte (Albacore) Loins in Olive Oil, Glass Jar",24,Olive Oil,"Tuna, White",Thunnus alalunga,Italy,Olasagasti,Yes,No,None,NA,NA,NA,,6.75,No,No,No,No,No,No,No,No,No,None,2,431,19,,,
Olasagasti Bonito Del Norte in EVOO,13,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Olasagasti,Yes,No,None,NA,NA,NA,120,4,No,No,No,No,No,No,No,No,No,None,1,478,21,,,
"Olasagasti Lomo de atún a la siciliana, en salsa tomates secos (Tuna Fillet in Sun-Dried Tomato Sauce)",13,Sunflower Oil,"Tuna, Bigeye",Thunnus obesus,Italy,Olasagasti,Yes,Yes,"Tomato, Black Olives",NA,NA,Unstated,200,7,No,No,No,Yes,No,Yes,No,No,No,None,1,1000,43,,,
"Olasagasti Lomo de atún a la toscana, con alubias blancas (Tuna Fillet a la Toscana (with white bean stew))",13,Olive Oil,"Tuna, Bigeye",Thunnus obesus,Italy,Olasagasti,Yes,No,Toscana (white beans),NA,NA,Unstated,200,7,No,No,No,No,No,No,No,No,No,None,1,780,34,,,
Olasagasti Lomo de atún con piperrada (Tuna Fillet with Basque Piperade),13,Olive Oil,"Tuna, Bigeye",Thunnus obesus,Italy,Olasagasti,Yes,No,"Red and Yellow Pepper, Onion, Tomato",NA,NA,Unstated,190,6.67,No,No,No,No,No,Yes,No,No,No,None,1,240,10,,,
Olasagasti Lomo de atún con pisto mediterráneo (Tuna Fillet with Mediterranean Ratatouille (Pisto)),13,Olive Oil,"Tuna, Bigeye",Thunnus obesus,Italy,Olasagasti,Yes,Yes,"Eggplant, tomato, onion, olives",NA,NA,Unstated,200,7,No,No,No,No,No,No,No,No,No,None,1,520,23,,,
Olasagasti Lomo de atún encebollado (Tuna Fillet with Sauteed Onion and Balsamic Vinegar),13,Olive Oil,"Tuna, Bigeye",Thunnus obesus,Italy,Olasagasti,Yes,No,Onion,NA,NA,Unstated,200,7,No,No,No,No,No,No,No,No,No,None,1,900,39,,,
Olasagasti Ventresca de Atun Claro (Yellowfin Tuna Belly) in Olive Oil,22,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,Olasagasti,Yes,No,None,NA,NA,NA,120,4.2,No,No,No,No,No,No,No,No,No,None,2,323,14,,,
Old Fisherman Roast Eel,3.5,Soy Sauce,Eel,?,Taiwan,Old Fisherman,Yes,Yes,None,No,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,260,11,,,
Old Fisherman Roast Eel Black Pepper,3.5,Canola Oil,Eel,?,Taiwan,Old Fisherman,Yes,Yes,Black Pepper,No,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,210,9,,,
Old Fisherman Roast Eel Chili,3.5,Soy Sauce,Eel,?,Taiwan,Old Fisherman,Yes,Yes,Spiced/Spicy,No,Yes,Unstated,100,3.5,No,No,No,No,Yes,No,No,No,No,None,2,200,9,,,
Old Fisherman Roasted Eel,3.5,Soy Sauce,Eel,?,Taiwan,Old Fisherman,Yes,Yes,None,No,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,280,12,,,
Old Fisherman Roasted Eel with Fermented Black Beans,3.5,Soy Sauce,Eel,?,Taiwan,Old Fisherman,Yes,Yes,Fermented Black Beans,No,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,250,11,,,
Old Fisherman Roasted Eel with Fermented Black Beans,3.5,Soy Sauce,Eel,?,Taiwan,Old Fisherman,Yes,Yes,Fermented Black Beans,No,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,250,11,,,
Orpagu Swordfish Belly (Ventresca) in Olive Oil,22,Olive Oil,Swordfish,Xiphhias gladius,Spain,Orpagu,Yes,No,None,NA,NA,NA,111,3.9,No,No,No,No,No,No,No,No,No,None,1,290,12,,,
"Orpagu Swordfish Loin in Olive Oil, glass jar",32,Olive Oil,Swordfish,Xiphhias gladius,Spain,Orpagu,Yes,No,None,NA,NA,NA,196,,No,No,No,No,No,No,No,No,No,None,2,230,10,,,
Orpagu Tuna Belly (Ventresca) in Olive Oil,18,Olive Oil,"Tuna, Bigeye & Yellowfin","Thunnus albesus, thunnus albacares",Spain,Orpagu,Yes,No,None,NA,NA,NA,111,3.9,No,No,No,No,No,No,No,No,No,None,1,510,22,,,
"Orpagu Tuna Loins in Olive Oil, glass jar",22,Olive Oil,"Tuna, Bigeye & Yellowfin","Thunnus albesus, thunnus albacares",Spain,Orpagu,Yes,No,None,NA,NA,NA,196,,No,No,No,No,No,No,No,No,No,None,2,210,9,,,
"Ortiz Anchovy Fillets in Extra Virgin Olive Oil ""Antigua"" (Old Style, skin-on), jar",18,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Ortiz,Yes,No,None,Yes,No,Unstated,95,,No,No,No,No,No,No,No,No,Yes,None,3.5,880,37,,,
"Ortiz Anchovy Fillets in Olive Oil, jar",19,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Ortiz,Yes,No,None,Yes,Yes,Unstated,95,,No,No,No,No,No,No,No,No,No,None,3.5,830,36,,,
"Ortiz Anchovy Fillets in Olive Oil, tin",8,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Ortiz,Yes,No,None,Yes,Yes,Unstated,47.5,1.67,No,No,No,No,No,No,No,No,No,None,2,780,37,,,
"Ortiz Bonito del Norte in Olive Oil, 112g Oval",11,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,None,NA,NA,NA,112,3.95,No,No,No,No,No,No,No,No,No,None,1,280,12,,,
"Ortiz Bonito del Norte in Olive Oil, 250g Round with Lid",23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,None,NA,NA,NA,250,8.81,No,No,No,No,No,No,No,No,No,None,3.5,360,15,,,
"Ortiz Bonito del Norte in Olive Oil, 92g Round",7.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,None,NA,NA,NA,92,3.24,No,No,No,No,No,No,No,No,No,None,2,200,8.3,,,
"Ortiz Bonito del Norte in Olive Oil, Glass Jar",21,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,None,NA,NA,NA,220,7.76,No,No,No,No,No,No,No,No,No,None,1,710,31,,,
Ortiz Family Reserve Bonito del Norte in Extra Virgin Olive Oil,11,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,None,NA,NA,NA,112,3.95,No,No,No,No,No,No,No,No,No,None,1,280,12,,,
"Ortiz Family Reserve Bonito del Norte in Extra Virgin Olive Oil, Glass Jar",28.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,None,NA,NA,NA,270,9.52,No,No,No,No,No,No,No,No,No,None,4,110,4.6,,,
"Ortiz Mackerel Fillets in Olive Oil, glass jar",18,Olive Oil,Mackerel,?,Spain,Ortiz,Yes,No,None,Yes,Yes,Unstated,250,8.8,No,No,No,No,No,No,No,No,No,None,3,242,10.1,,,
Ortiz Ria de Arosa Mussels in Escabeche 10/14,11,Olive Oil,Mussels,?,Spain,Ortiz,Yes,No,Escabeche,NA,NA,10/14,115,4.06,No,No,No,No,No,No,No,No,No,None,1,640,28,,,
Ortiz Salt-Packed Whole Anchovies,9,None,Anchovy,Engraulis encrasicolus,Spain,Ortiz,Yes,No,None,No,No,Unstated,100,3.52,No,No,No,No,No,No,No,No,No,None,7,990,41,,,
"Ortiz Sardinas a la Antigua ""Old Style"" Sardines in Extra Virgin Olive Oil, Glass Jar",12,Olive Oil,Sardines,Sardina pilchardus,Spain,Ortiz,Yes,No,None,No,No,Unstated,190,6.7,No,No,No,No,No,No,No,No,No,None,1,480,21,,,
"Ortiz Sardinas a la Antigua ""Old Style"" Sardines in Extra Virgin Olive Oil, tin",8,Olive Oil,Sardines,Sardina pilchardus,Spain,Ortiz,Yes,No,None,No,No,Unstated,140,4.93,No,No,No,No,No,No,No,No,No,None,1,340,15,,,
Ortiz Sweet Piquillo Peppers stuffed with White Tuna (Bonito del Norte),14,None,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,Yes,Tomato,NA,NA,Unstated,300,10.58,No,No,No,No,No,Yes,Yes,Yes,No,None,4,382,16,,,
Ortiz Ventresca of Bonito del Norte,26.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,None,NA,NA,NA,110,3.88,No,No,No,No,No,No,No,No,No,None,2,357,15,,,
"Ortiz White Tuna in Olive Oil with Espelette Pepper, glass jar",22.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ortiz,Yes,No,Piment d'Espelette,NA,NA,Unstated,220,7.76,No,No,No,No,No,No,No,No,No,None,3,112,5,,,
"Ortiz Yellowfin Tuna in Olive Oil, glass jar",19,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Ortiz,Yes,No,None,NA,NA,NA,220,7.76,No,No,No,No,No,No,No,No,No,None,2.5,240,10,,,
Ortiz Yellowfin Tuna in Organic Extra Virgin Olive Oil,7.5,"Extra Virgin Olive Oil, Organic","Tuna, Yellowfin",Thunnus albacares,Spain,Ortiz,Yes,No,None,NA,NA,NA,112,3.95,No,No,No,No,No,No,No,No,Yes,None,2,368,15,,,
Paco Lafuente Cockles in Brine 35/45,15,Water,Cockles,Cerastoderma edule,Spain,Paco Lafuente,Yes,No,Brine,NA,NA,35/45,115,4,No,No,No,No,No,No,No,No,No,None,1,318,13,,,
Paco Lafuente Garfish (Needlefish) in Olive Oil 5/6,9,Olive Oil,Garfish,Belone belone,Spain,Paco Lafuente,Yes,No,None,No,No,5/6,115,4,No,No,No,No,No,No,No,No,No,None,1,150,7,,,
Paco Lafuente Mussels in Escabeche 12/14,8.5,Olive Oil,Mussels,Mytilus scombrus,Spain,Paco Lafuente,Yes,No,Escabeche,NA,NA,12/14,115,4,No,No,No,No,No,No,No,No,No,None,1,522,23,,,
Paco Lafuente Small Sardines in Olive Oil 16/18,10,Olive Oil,Sardines,Sardina pilchardus,Spain ,Paco Lafuente,Yes,No,None,No,No,16/18,115,4,No,No,No,No,No,No,No,No,No,None,1,275,12,,,
Patagonia Provisions Lemon Caper Mackerel,8,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber scombrus,Spain,Patagonia,Yes,No,"Lemon, Capers",Yes,Yes,Unstated,120,4.2,No,No,Yes,No,No,No,No,No,Yes,None,1,690,30,,,
Patagonia Provisions Lemon Herb Mussels,8,"Extra Virgin Olive Oil, Organic",Mussels,Mytilus galloprovincialis,Spain,Patagonia,No,No,"Mussel Broth, Lemon, Garlic",NA,NA,Unstated,120,4.2,No,No,Yes,Yes,No,No,No,No,Yes,None,1,700,30,,,
Patagonia Provisions Lemon Olive Spanish White Anchovies,8,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,Spain,Patagonia,Yes,No,"Green Olives, Lemon",No,No,Unstated,120,4,No,No,Yes,No,No,No,No,No,Yes,None,1,250,11,,,
Patagonia Provisions Roasted Garlic Mackerel,8,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber scombrus,Spain,Patagonia,Yes,No,"Garlic, Chili",Yes,Yes,Unstated,120,4.2,No,No,No,Yes,Yes,No,No,No,Yes,None,1,560,24,,,
Patagonia Provisions Roasted Garlic Spanish White Anchovies,8,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,Spain,Patagonia,Yes,No,"Garlic, Roasted",No,No,Unstated,120,4,No,No,No,Yes,Yes,No,No,No,Yes,None,1,360,16,,,
Patagonia Provisions Savory Sofrito Mussels,8,"Extra Virgin Olive Oil, Organic",Mussels,Mytilus galloprovincialis,Spain,Patagonia,No,No,Mussel Broth,NA,NA,Unstated,120,4.2,No,No,No,No,No,No,No,No,Yes,None,1,560,24,,,
Patagonia Provisions Smoked Mackerel in Olive Oil,8,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber scombrus,Spain,Patagonia,Yes,No,None,Yes,Yes,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,2,310,13,,,
Patagonia Provisions Smoked Mussels,8,"Extra Virgin Olive Oil, Organic",Mussels,Mytilus galloprovincialis,Spain,Patagonia,No,No,Mussel Broth,NA,NA,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,Yes,None,2,420,18,,,
Patagonia Provisions Spanish Paprika Mackerel,8,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber scombrus,Spain,Patagonia,Yes,No,Paprika,Yes,Yes,Unstated,120,4.2,No,No,No,Yes,No,No,No,No,Yes,None,1,320,14,,,
"Patagonia Provisions Wild Pink Salmon, Black Pepper",16,"Extra Virgin Olive Oil, Organic","Salmon, Pink",Oncorhynchus gorbuscha,USA,Patagonia,Yes,Yes,None,Yes,No,2,227,8,Yes,No,No,No,No,No,No,No,Yes,Square-K,4,400,17,,,
"Patagonia Provisions Wild Sockeye Salmon, Lemon Pepper",16,"Extra Virgin Olive Oil, Organic","Salmon, Sockeye",Oncorhynchus nerka,USA,Patagonia,Yes,Yes,"Lemon, Pepper",Yes,No,1,170,6,Yes,No,Yes,Yes,No,No,No,No,Yes,Square-K,3,380,17,,,
"Patagonia Provisions Wild Sockeye Salmon, Lightly Smoked (Original)",16,"Extra Virgin Olive Oil, Organic","Salmon, Sockeye",Oncorhynchus nerka,USA,Patagonia,Yes,Yes,None,Yes,No,1,170,6,Yes,No,No,No,No,No,No,No,Yes,Square-K,3,430,19,,,
Pearl River Bridge Fried Dace,6,Refined Soybean Oil,Dace,?,China,Pearl River Bridge,Yes,Yes,"Spices, soy sauce",NA,NA,NA,180,6.3,No,No,Yes,No,No,No,No,Yes,No,None,3.5,320,14,,,
Pearl River Bridge Fried Dace with Black Bean,6,Refined Soybean Oil,Dace,?,China,Pearl River Bridge,Yes,Yes,"Black beans, soy sauce, spices",NA,NA,NA,180,6.3,No,No,Yes,No,No,No,No,Yes,No,None,3.5,570,25,,,
Pepus Baby Sardines in Spicy Olive Oil,7.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Pepus,Yes,No,Spiced/Spicy,No,No,10/12,115,4.05,No,No,No,No,Yes,No,No,No,No,None,1,212,9,,,
Pepus Stuffed Baby Squid in Ink,11.5,Sunflower Oil,Squid,?,Spain,Pepus,Yes,No,Ink,NA,NA,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,1,310,13,,,
Pepus White Tuna (Albacore) in Olive Oil,10.75,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Pepus,Yes,No,None,NA,NA,NA,111,4,No,No,No,No,No,No,No,No,No,None,1,280,12,,,
Pinhais Sardines in Olive Oil,9.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Pinhais,Yes,No,None,No,No,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,1,500,22,,,
Pinhais Sardines in Tomato Sauce,9.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Pinhais,Yes,No,Tomato,No,No,Unstated,125,4.4,No,No,No,No,No,Yes,No,No,No,None,1,500,22,,,
Pinhais Spiced Sardines in Olive Oil,9.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Pinhais,Yes,No,"Chili pepper, cucumber, carrot",No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,500,22,,,
Pinhais Spiced Sardines in Tomato Sauce,9.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Pinhais,Yes,No,"Tomato, bay laurel, cucumber, carrot, chili",No,No,Unstated,125,4.4,No,No,No,No,Yes,Yes,No,No,No,None,1,500,22,,,
